Month,Value
1999/01,1482
1999/02,1199
1999/03,1299
1999/04,1304
1999/05,1428
1999/06,1421
1999/07,1532
1999/08,1476
1999/09,1503
1999/10,1450
1999/11,1319
1999/12,1476
2000/01,1397
2000/02,1261
2000/03,1318
2000/04,1278
2000/05,1461
2000/06,1460
2000/07,1555
2000/08,1510
2000/09,1425
2000/10,1424
2000/11,1258
2000/12,1418
2001/01,1417
2001/02,1133
2001/03,1266
2001/04,1404
2001/05,1416
2001/06,1464
2001/07,1650
2001/08,1509
2001/09,4402
2001/10,1618
2001/11,1471
2001/12,1558
2002/01,1424
2002/02,1218
2002/03,1390
2002/04,1395
2002/05,1428
2002/06,1450
2002/07,1638
2002/08,1628
2002/09,1687
2002/10,1481
2002/11,1441
2002/12,1458
2003/01,1383
2003/02,1241
2003/03,1460
2003/04,1454
2003/05,1517
2003/06,1489
2003/07,1670
2003/08,1626
2003/09,1541
2003/10,1487
2003/11,1372
2003/12,1492
2004/01,1430
2004/02,1226
2004/03,1399
2004/04,1385
2004/05,1527
2004/06,1444
2004/07,1681
2004/08,1572
2004/09,1495
2004/10,1457
2004/11,1346
2004/12,1395
2005/01,1398
2005/02,1290
2005/03,1386
2005/04,1453
2005/05,1580
2005/06,1593
2005/07,1737
2005/08,1681
2005/09,1474
2005/10,1582
2005/11,1461
2005/12,1489
2006/01,1555
2006/02,1223
2006/03,1356
2006/04,1526
2006/05,1603
2006/06,1607
2006/07,1797
2006/08,1587
2006/09,1593
2006/10,1600
2006/11,1528
2006/12,1598
2007/01,1518
2007/02,1212
2007/03,1497
2007/04,1487
2007/05,1524
2007/06,1669
2007/07,1760
2007/08,1709
2007/09,1520
2007/10,1528
2007/11,1402
2007/12,1535
2008/01,1400
2008/02,1317
2008/03,1441
2008/04,1496
2008/05,1469
2008/06,1576
2008/07,1633
2008/08,1596
2008/09,1571
2008/10,1485
2008/11,1449
2008/12,1393
2009/01,1348
2009/02,1121
2009/03,1362
2009/04,1421
2009/05,1497
2009/06,1459
2009/07,1610
2009/08,1512
2009/09,1347
2009/10,1389
2009/11,1381
2009/12,1352
2010/01,1311
2010/02,1049
2010/03,1298
2010/04,1379
2010/05,1448
2010/06,1425
2010/07,1537
2010/08,1474
2010/09,1368
2010/10,1393
2010/11,1307
2010/12,1270
2011/01,1303
2011/02,1023
2011/03,1249
2011/04,1367
2011/05,1467
2011/06,1368
2011/07,1605
2011/08,1443
2011/09,1386
2011/10,1385
2011/11,1284
2011/12,1358
2012/01,1330
2012/02,1103
2012/03,1373
2012/04,1349
2012/05,1403
2012/06,1415
2012/07,1582
2012/08,1499
2012/09,1450
2012/10,1406
2012/11,1338
2012/12,1440
2013/01,1373
2013/02,1078
2013/03,1266
2013/04,1271
2013/05,1337
2013/06,1488
2013/07,1557
2013/08,1387
2013/09,1295
2013/10,1346
2013/11,1317
2013/12,1406
2014/01,1213
2014/02,1050
2014/03,1261
2014/04,1277
2014/05,1398
2014/06,1376
2014/07,1382
2014/08,1467
2014/09,1307
2014/10,1423
2014/11,1307
2014/12,1411
2015/01,1437
2015/02,1124
2015/03,1365
2015/04,1297
2015/05,1531
2015/06,1546
2015/07,1676
2015/08,1650
2015/09,1610
2015/10,1486
2015/11,1503
2015/12,1568
2016/01,1499
2016/02,1266
2016/03,1476
2016/04,1525
2016/05,1649
2016/06,1657
2016/07,1804
2016/08,1804
2016/09,1675
2016/10,1678
2016/11,1720
2016/12,1609
2017/01,1726
2017/02,1428
2017/03,1467
2017/04,1530
2017/05,1688
2017/06,1670
2017/07,1803
2017/08,1651
2017/09,1595
2017/10,1725
2017/11,1647
2017/12,1580
2018/01,1674
2018/02,1376
2018/03,1449
2018/04,1572
2018/05,1559
2018/06,1674
2018/07,1755
2018/08,1607
2018/09,1613
2018/10,1512
2018/11,1483
2018/12,1556
2019/01,1574
2019/02,1356
2019/03,1467
2019/04,1444
2019/05,1662
2019/06,1673
2019/07,1729
2019/08,1639
2019/09,1647
2019/10,1610
2019/11,1625
2019/12,1715
2020/01,1702
2020/02,1461
2020/03,1686
2020/04,1742
2020/05,2061
2020/06,2245
2020/07,2408
2020/08,2326
2020/09,2162
2020/10,2348
2020/11,2222
2020/12,2213
